Date;Nom;Prenom;Classe;Voeux1;Voeux2;Voeux3
01/02/2025 00:18;Simon;Isabelle;3emeB;Programme 2;Programme 1;Programme 6
01/02/2025 00:50;Durand;Marie;5emeC;Programme 1;Programme 6;Programme 5
01/02/2025 01:10;Martin;Nicole;5emeC;Programme 3;Programme 7;Programme 4
01/02/2025 01:28;Girard;Jean;4emeE;Programme 6;Programme 5;Programme 3
01/02/2025 02:09;Leroy;Pierre;3emeC;Programme 7;Programme 6;Programme 5
01/02/2025 02:36;Simon;Bernard;5emeD;Programme 7;Programme 2;Programme 6
01/02/2025 06:21;Bernard;Nicole;5emeB;Programme 1;Programme 7;Programme 5
01/02/2025 07:31;Simon;Jacques;6emeD;Programme 2;Programme 7;Programme 3
01/02/2025 07:40;Petit;Ren«∏;4emeC;Programme 3;Programme 2;Programme 1
01/02/2025 08:04;Morel;Nicole;6emeE;Programme 6;Programme 7;Programme 3
01/02/2025 09:15;David;Andr«∏;3emeB;Programme 6;Programme 2;Programme 5
01/02/2025 09:46;Roux;Jean;6emeD;Programme 3;Programme 2;Programme 6
01/02/2025 09:54;Dubois;Alain;4emeA;Programme 6;Programme 1;Programme 5
01/02/2025 11:07;Girard;Monique;4emeC;Programme 4;Programme 2;Programme 1
01/02/2025 12:36;Leroy;Marie;5emeD;Programme 7;Programme 6;Programme 2
01/02/2025 13:12;Roux;Marie;5emeB;Programme 7;Programme 1;Programme 3
01/02/2025 13:49;Laurent;Anne;5emeB;Programme 4;Programme 1;Programme 3
01/02/2025 14:06;Leroy;Fran«ıoise;4emeA;Programme 3;Programme 6;Programme 5
01/02/2025 14:10;Morel;Jean;3emeD;Programme 7;Programme 1;Programme 3
01/02/2025 16:11;Petit;Fran«ıoise;4emeE;Programme 5;Programme 6;Programme 1
01/02/2025 16:31;Michel;Isabelle;3emeA;Programme 6;Programme 4;Programme 7
01/02/2025 16:38;Laurent;Anne;5emeB;Programme 4;Programme 6;Programme 7
01/02/2025 16:53;Morel;Catherine;4emeB;Programme 6;Programme 7;Programme 4
01/02/2025 16:54;Bertrand;Louis;4emeC;Programme 6;Programme 2;Programme 1
01/02/2025 19:44;Roux;Jean;6emeD;Programme 1;Programme 2;Programme 7
01/02/2025 19:46;Laurent;Catherine;4emeE;Programme 6;Programme 3;Programme 4
01/02/2025 20:23;Leroy;Anne;3emeB;Programme 1;Programme 5;Programme 3
01/02/2025 20:35;Morel;Sophie;6emeB;Programme 1;Programme 3;Programme 6
01/02/2025 21:10;Simon;Anne;6emeA;Programme 5;Programme 7;Programme 2
01/02/2025 21:46;Dubois;Louis;5emeC;Programme 1;Programme 5;Programme 6
01/02/2025 22:16;Girard;Michel;6emeD;Programme 1;Programme 6;Programme 4
01/02/2025 22:59;Petit;Jean;5emeE;Programme 3;Programme 4;Programme 6
01/02/2025 23:17;Laurent;Marie;6emeB;Programme 4;Programme 2;Programme 6
